"Ocena dokonèanih stanovanj po številu sob in površini, po obèinah, Slovenija, letno"

"OBÈINE";"MERITVE";"2008 Stanovanja - SKUPAJ";"2008 Enosobna";"2008 Dvosobna";"2008 Trisobna";"2008 Štirisobna";"2008 Pet- in veèsobna";"2009 Stanovanja - SKUPAJ";"2009 Enosobna";"2009 Dvosobna";"2009 Trisobna";"2009 Štirisobna";"2009 Pet- in veèsobna";"2010 Stanovanja - SKUPAJ";"2010 Enosobna";"2010 Dvosobna";"2010 Trisobna";"2010 Štirisobna";"2010 Pet- in veèsobna";"2011 Stanovanja - SKUPAJ";"2011 Enosobna";"2011 Dvosobna";"2011 Trisobna";"2011 Štirisobna";"2011 Pet- in veèsobna";"2012 Stanovanja - SKUPAJ";"2012 Enosobna";"2012 Dvosobna";"2012 Trisobna";"2012 Štirisobna";"2012 Pet- in veèsobna";"2013 Stanovanja - SKUPAJ";"2013 Enosobna";"2013 Dvosobna";"2013 Trisobna";"2013 Štirisobna";"2013 Pet- in veèsobna";"2014 Stanovanja - SKUPAJ";"2014 Enosobna";"2014 Dvosobna";"2014 Trisobna";"2014 Štirisobna";"2014 Pet- in veèsobna";"2015 Stanovanja - SKUPAJ";"2015 Enosobna";"2015 Dvosobna";"2015 Trisobna";"2015 Štirisobna";"2015 Pet- in veèsobna";"2016 Stanovanja - SKUPAJ";"2016 Enosobna";"2016 Dvosobna";"2016 Trisobna";"2016 Štirisobna";"2016 Pet- in veèsobna";"2017 Stanovanja - SKUPAJ";"2017 Enosobna";"2017 Dvosobna";"2017 Trisobna";"2017 Štirisobna";"2017 Pet- in veèsobna";"2018 Stanovanja - SKUPAJ";"2018 Enosobna";"2018 Dvosobna";"2018 Trisobna";"2018 Štirisobna";"2018 Pet- in veèsobna";"2019 Stanovanja - SKUPAJ";"2019 Enosobna";"2019 Dvosobna";"2019 Trisobna";"2019 Štirisobna";"2019 Pet- in veèsobna";"2020 Stanovanja - SKUPAJ";"2020 Enosobna";"2020 Dvosobna";"2020 Trisobna";"2020 Štirisobna";"2020 Pet- in veèsobna";"2021 Stanovanja - SKUPAJ";"2021 Enosobna";"2021 Dvosobna";"2021 Trisobna";"2021 Štirisobna";"2021 Pet- in veèsobna";"2022 Stanovanja - SKUPAJ";"2022 Enosobna";"2022 Dvosobna";"2022 Trisobna";"2022 Štirisobna";"2022 Pet- in veèsobna";"2023 Stanovanja - SKUPAJ";"2023 Enosobna";"2023 Dvosobna";"2023 Trisobna";"2023 Štirisobna";"2023 Pet- in veèsobna"
"Benedikt";"Število";43;4;30;2;3;4;61;9;33;9;3;7;11;0;0;3;2;6;18;3;9;1;1;4;21;3;11;3;1;3;8;0;0;0;3;5;11;0;2;0;4;5;2;0;0;0;2;0;17;0;0;3;3;11;15;0;0;2;9;4;17;0;0;2;6;9;14;0;1;0;8;5;19;2;2;3;5;7;24;0;0;1;20;3;35;0;2;21;7;5;28;0;3;14;9;2
"Benedikt";"Površina [m2]";3617;170;2005;172;509;761;4422;247;1863;639;407;1266;1626;0;0;279;387;960;2019;160;591;273;171;824;1865;163;736;223;136;607;1195;0;0;0;375;820;1607;0;243;0;665;699;303;0;0;0;303;0;2533;0;0;359;462;1712;2815;0;0;402;1199;1214;2729;0;0;191;710;1828;1983;0;66;0;1088;829;2411;66;115;287;430;1513;2641;0;0;195;2008;438;3420;0;140;1521;701;1058;2064;0;129;885;697;353
"Bistrica ob Sotli";"Število";13;1;8;2;1;1;7;0;0;1;0;6;2;0;0;0;0;2;5;0;0;1;1;3;4;0;1;1;0;2;4;2;0;0;1;1;5;0;1;2;0;2;5;0;0;0;0;5;3;0;0;1;0;2;1;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;1;3;0;0;1;0;2;4;0;0;0;0;4;1;0;0;0;0;1
"Bistrica ob Sotli";"Površina [m2]";797;34;378;114;127;144;931;0;0;87;0;844;233;0;0;0;0;233;694;0;0;90;91;513;445;0;62;88;0;295;263;54;0;0;74;135;743;0;54;210;0;479;740;0;0;0;0;740;500;0;0;107;0;393;123;0;0;0;0;123;95;0;0;95;0;0;126;0;0;0;0;126;165;0;0;0;0;165;310;0;0;90;0;220;942;0;0;0;0;942;259;0;0;0;0;259
"Bled";"Število";45;0;14;3;4;24;19;5;0;3;2;9;24;0;2;0;11;11;5;0;2;1;0;2;9;0;0;4;0;5;12;0;0;4;5;3;10;0;0;1;2;7;17;1;1;4;3;8;17;0;0;2;6;9;95;26;48;14;2;5;6;0;0;1;1;4;17;0;1;6;3;7;71;60;0;1;5;5;19;1;0;8;2;8;8;0;0;2;3;3;9;0;0;0;4;5
"Bled";"Površina [m2]";8810;0;1781;494;887;5648;3404;285;0;271;259;2589;3556;0;127;0;1543;1886;701;0;94;103;0;504;1539;0;0;556;0;983;1671;0;0;379;814;478;1819;0;0;182;353;1284;3191;70;149;585;607;1780;3613;0;0;252;1193;2168;8474;2135;3795;1243;166;1135;1491;0;0;171;189;1131;2792;0;74;575;408;1735;6405;4185;0;143;1096;981;3859;55;0;1388;330;2086;1727;0;0;360;674;693;1444;0;0;0;514;930
"Bloke";"Število";3;0;0;0;2;1;12;0;0;0;1;11;7;0;2;1;1;3;6;0;0;1;1;4;8;1;0;1;3;3;6;0;0;1;3;2;1;0;0;0;1;0;2;0;0;0;1;1;3;0;0;1;2;0;2;0;1;0;1;0;0;0;0;0;0;0;3;0;0;1;0;2;1;0;0;1;0;0;7;0;0;4;2;1;3;1;0;0;1;1;2;1;0;0;1;0
"Bloke";"Površina [m2]";434;0;0;0;238;196;1887;0;0;0;126;1761;1186;0;150;272;129;635;865;0;0;125;129;611;1262;28;0;90;443;701;934;0;0;53;446;435;71;0;0;0;71;0;356;0;0;0;240;116;541;0;0;99;442;0;177;0;53;0;124;0;0;0;0;0;0;0;428;0;0;160;0;268;128;0;0;128;0;0;1003;0;0;469;416;118;329;82;0;0;159;88;167;66;0;0;101;0
"Bohinj";"Število";5;0;0;3;1;1;7;0;0;0;2;5;28;0;12;6;1;9;30;1;4;16;5;4;7;0;0;0;4;3;10;0;2;4;2;2;14;1;4;5;2;2;4;0;0;1;2;1;14;2;1;4;1;6;24;4;3;9;3;5;9;0;1;4;2;2;9;0;0;1;5;3;10;0;0;4;4;2;20;0;2;4;9;5;4;0;0;2;2;0;25;1;1;5;16;2
"Bohinj";"Površina [m2]";548;0;0;204;163;181;1793;0;0;0;392;1401;3303;0;1072;480;155;1596;2450;25;222;1102;524;577;679;0;0;0;464;215;1018;0;141;339;206;332;1311;42;146;454;351;318;457;0;0;53;284;120;1406;63;47;302;113;881;2605;144;124;788;812;737;1225;0;45;336;345;499;1144;0;0;64;772;308;2202;0;0;843;928;431;4235;0;257;611;1634;1733;493;0;0;225;268;0;2586;30;51;500;1714;291
"Borovnica";"Število";34;2;24;4;0;4;7;0;0;3;1;3;206;45;24;14;116;7;7;0;1;0;2;4;10;0;1;0;1;8;2;1;0;0;0;1;11;0;0;0;0;11;8;0;1;0;0;7;9;1;0;2;2;4;8;1;0;0;1;6;1;0;0;1;0;0;4;0;0;0;0;4;7;0;0;2;2;3;4;0;2;0;2;0;4;0;0;1;1;2;3;0;1;0;1;1
"Borovnica";"Površina [m2]";2508;96;1359;427;0;626;1065;0;0;488;121;456;16530;1474;1264;1013;11426;1353;1407;0;65;0;331;1011;1845;0;235;0;82;1528;486;231;0;0;0;255;2244;0;0;0;0;2244;1526;0;98;0;0;1428;1318;48;0;185;235;850;1123;49;0;0;126;948;66;0;0;66;0;0;949;0;0;0;0;949;830;0;0;164;179;487;341;0;103;0;238;0;452;0;0;76;122;254;430;0;79;0;229;122
"Bovec";"Število";25;1;1;18;3;2;7;0;1;3;0;3;29;5;8;9;5;2;4;0;1;0;2;1;7;0;4;0;0;3;8;0;0;1;4;3;5;0;0;2;1;2;3;0;1;0;0;2;17;1;1;7;6;2;2;0;1;1;0;0;5;0;1;1;1;2;2;0;0;0;1;1;7;0;1;3;1;2;5;1;1;2;1;0;4;0;0;3;0;1;11;2;3;3;0;3
"Bovec";"Površina [m2]";2795;54;57;1670;527;487;789;0;35;252;0;502;2311;257;384;677;770;223;530;0;92;0;281;157;859;0;196;0;0;663;1089;0;0;80;572;437;777;0;0;259;99;419;360;0;130;0;0;230;1585;27;50;545;658;305;140;0;55;85;0;0;758;0;60;85;199;414;406;0;0;0;154;252;857;0;149;286;92;330;410;85;42;150;133;0;323;0;0;244;0;79;1195;222;243;282;0;448
"Braslovèe";"Število";15;1;0;0;8;6;24;0;1;0;11;12;25;0;1;2;11;11;9;0;1;0;4;4;10;0;0;0;5;5;18;1;1;1;5;10;19;0;0;1;11;7;16;0;0;5;4;7;13;0;0;3;4;6;12;0;0;0;7;5;27;0;12;5;8;2;18;0;0;1;9;8;17;0;1;3;6;7;31;0;13;0;15;3;12;0;0;2;4;6;25;0;0;1;10;14
"Braslovèe";"Površina [m2]";2452;41;0;0;1329;1082;4371;0;109;0;1664;2598;5282;0;99;269;2360;2554;1514;0;85;0;565;864;1793;0;0;0;927;866;2913;38;102;97;773;1903;3832;0;0;112;2456;1264;2555;0;0;586;879;1090;2064;0;0;488;613;963;1816;0;0;0;881;935;2934;0;701;573;1323;337;2783;0;0;153;1191;1439;2778;0;98;317;1005;1358;3746;0;762;0;2557;427;2246;0;0;336;848;1062;3849;0;0;112;1524;2213
"Brda";"Število";22;0;0;0;7;15;19;0;6;2;4;7;21;0;0;4;6;11;18;0;0;2;2;14;9;0;0;0;5;4;13;0;2;2;2;7;7;0;0;2;2;3;18;0;0;6;3;9;10;1;0;0;4;5;9;0;0;0;1;8;13;0;1;1;2;9;13;2;2;0;0;9;11;0;0;3;0;8;15;0;1;1;1;12;11;1;0;2;6;2;13;2;2;5;3;1
"Brda";"Površina [m2]";3106;0;0;0;867;2239;2132;0;161;408;536;1027;3242;0;0;426;1297;1519;2898;0;0;117;239;2542;1622;0;0;0;965;657;1937;0;130;157;384;1266;790;0;0;201;241;348;2488;0;0;617;429;1442;1603;224;0;0;386;993;2099;0;0;0;204;1895;1898;0;92;71;278;1457;2326;119;99;0;0;2108;2156;0;0;735;0;1421;2873;0;38;295;186;2354;1729;158;0;150;982;439;1123;41;88;549;355;90
"Brezovica";"Število";117;1;16;32;19;49;53;0;2;4;3;44;45;0;2;2;22;19;32;0;0;0;16;16;16;0;1;2;2;11;15;0;0;1;0;14;11;0;0;0;2;9;25;0;1;0;11;13;20;0;3;3;3;11;16;1;0;0;5;10;21;0;2;5;6;8;24;0;1;1;5;17;27;0;1;2;8;16;23;1;1;1;3;17;21;0;0;0;4;17;13;1;0;1;3;8
"Brezovica";"Površina [m2]";13577;103;1254;2828;2462;6930;7775;0;198;481;356;6740;6585;0;156;169;2806;3454;5349;0;0;0;2299;3050;3153;0;163;174;429;2387;2847;0;0;86;0;2761;1866;0;0;0;216;1650;3662;0;98;0;1337;2227;3401;0;353;388;368;2292;2686;90;0;0;752;1844;2792;0;136;399;683;1574;5009;0;107;344;748;3810;6345;0;71;282;1879;4113;4202;29;122;142;470;3439;3210;0;0;0;830;2380;1733;101;0;101;375;1156
"Brežice";"Število";125;0;2;7;15;101;56;0;9;6;12;29;87;4;5;15;27;36;55;1;3;11;8;32;40;0;1;4;11;24;45;0;0;8;13;24;24;1;0;3;6;14;27;0;0;5;8;14;30;2;4;5;9;10;53;3;15;6;10;19;23;1;2;5;5;10;38;4;2;6;8;18;83;0;8;37;8;30;38;2;2;2;11;21;32;3;0;1;6;22;44;0;2;3;7;32
"Brežice";"Površina [m2]";13645;0;138;869;1799;10839;8049;0;913;728;1563;4845;12383;330;379;2018;2897;6759;8078;83;279;1253;908;5555;6266;0;150;845;1585;3686;6444;0;0;840;1718;3886;3814;111;0;203;1076;2424;4063;0;0;597;1019;2447;4872;96;372;685;1856;1863;6618;198;918;817;1653;3032;3598;76;452;743;600;1727;5356;226;149;515;1291;3175;10107;0;811;3622;1220;4454;6139;89;100;204;1803;3943;5426;127;0;81;813;4405;7420;0;138;399;1098;5785
"Cankova";"Število";3;0;0;2;1;0;3;1;0;0;1;1;5;0;2;1;1;1;1;0;0;0;0;1;4;0;0;1;0;3;2;1;0;0;0;1;1;1;0;0;0;0;1;0;1;0;0;0;5;1;1;1;0;2;5;0;3;0;2;0;1;0;0;0;0;1;3;1;0;0;0;2;2;0;0;0;2;0;3;0;0;0;2;1;0;0;0;0;0;0;5;0;1;1;2;1
"Cankova";"Površina [m2]";264;0;0;188;76;0;411;83;0;0;111;217;422;0;80;111;137;94;122;0;0;0;0;122;952;0;0;129;0;823;303;100;0;0;0;203;17;17;0;0;0;0;56;0;56;0;0;0;597;63;71;115;0;348;439;0;108;0;331;0;159;0;0;0;0;159;851;60;0;0;0;791;324;0;0;0;324;0;551;0;0;0;342;209;0;0;0;0;0;0;726;0;114;160;251;201
"Celje";"Število";35;0;1;7;6;21;127;39;13;35;16;24;57;2;0;8;17;30;42;0;1;8;3;30;21;0;0;2;7;12;22;1;1;4;7;9;18;1;1;0;8;8;18;1;4;3;3;7;24;1;0;7;4;12;28;6;0;7;6;9;25;2;0;2;13;8;23;0;0;3;15;5;69;2;39;7;15;6;30;0;1;5;12;12;67;0;8;36;12;11;24;3;3;2;8;8
"Celje";"Površina [m2]";7277;0;100;1042;1191;4944;12043;1257;835;2664;2392;4895;10426;216;0;1231;2675;6304;8316;0;29;976;543;6768;3892;0;0;249;1097;2546;3964;31;101;483;1240;2109;3097;58;87;0;1403;1549;2662;30;229;402;711;1290;4018;151;0;733;487;2647;3085;201;0;404;831;1649;4999;109;0;206;2253;2431;3358;0;0;90;2437;831;5870;260;2020;604;1691;1295;4534;0;45;357;1697;2435;7897;0;574;3200;1997;2126;3724;271;299;219;1416;1519
"Cerklje na Gorenjskem";"Število";41;0;5;3;7;26;55;5;16;12;3;19;34;0;1;1;16;16;29;0;1;0;8;20;18;0;0;2;7;9;9;2;0;0;4;3;37;3;12;10;5;7;10;0;0;0;6;4;19;3;2;3;6;5;8;0;0;3;1;4;19;0;1;4;4;10;7;0;0;0;1;6;23;1;0;3;1;18;17;1;0;0;3;13;23;0;0;5;6;12;20;0;0;3;4;13
"Cerklje na Gorenjskem";"Površina [m2]";6481;0;490;206;728;5057;6646;168;732;1328;446;3972;5514;0;60;93;1742;3619;5826;0;96;0;1590;4140;3586;0;0;401;1607;1578;1679;451;0;0;740;488;3631;91;676;783;795;1286;1844;0;0;0;1008;836;1836;97;108;275;612;744;827;0;0;192;232;403;2956;0;99;392;694;1771;1264;0;0;0;37;1227;3579;32;0;409;80;3058;3213;56;0;0;517;2640;3370;0;0;702;721;1947;3522;0;0;352;827;2343
"Cerknica";"Število";52;0;3;21;6;22;32;0;0;2;13;17;32;0;0;4;3;25;30;2;0;0;8;20;29;1;1;3;8;16;19;0;0;2;7;10;24;0;0;3;11;10;15;0;0;2;6;7;15;0;0;2;3;10;25;1;0;4;9;11;22;0;1;3;5;13;19;0;2;2;5;10;11;0;0;3;2;6;14;0;1;4;1;8;20;0;6;7;2;5;16;0;0;0;3;13
"Cerknica";"Površina [m2]";6531;0;137;1446;788;4160;5853;0;0;216;1623;4014;6412;0;0;486;453;5473;5382;160;0;0;1214;4008;5774;45;41;317;1419;3952;3615;0;0;214;1309;2092;4293;0;0;359;1835;2099;3044;0;0;246;1370;1428;2969;0;0;175;659;2135;4547;72;0;475;1539;2461;3550;0;114;299;858;2279;2985;0;117;248;935;1685;1608;0;0;361;367;880;2168;0;140;685;177;1166;2306;0;723;535;294;754;2284;0;0;0;470;1814
"Cerkno";"Število";6;0;0;0;1;5;7;1;0;0;3;3;8;0;1;0;1;6;11;0;1;1;2;7;6;0;1;0;1;4;2;0;0;0;1;1;13;0;2;6;2;3;6;0;1;0;4;1;11;0;0;3;2;6;14;0;0;3;5;6;10;1;1;0;1;7;7;0;0;1;4;2;6;0;2;0;0;4;6;0;1;1;3;1;4;0;1;0;1;2;4;0;1;2;0;1
"Cerkno";"Površina [m2]";870;0;0;0;55;815;1301;131;0;0;697;473;1236;0;102;0;103;1031;1665;0;61;131;194;1279;965;0;69;0;248;648;463;0;0;0;224;239;2041;0;120;526;554;841;981;0;92;0;614;275;1980;0;0;212;529;1239;2914;0;0;389;1000;1525;1996;30;188;0;213;1565;924;0;0;132;458;334;1092;0;130;0;0;962;891;0;50;82;579;180;762;0;118;0;201;443;335;0;40;172;0;123
"Cerkvenjak";"Število";12;0;1;1;2;8;9;0;3;2;2;2;9;0;0;4;2;3;23;0;12;0;5;6;5;0;1;1;0;3;8;0;1;1;2;4;4;0;0;1;2;1;4;0;0;0;3;1;10;1;0;1;3;5;6;0;0;1;1;4;7;0;0;0;4;3;12;0;0;0;3;9;5;0;0;2;2;1;7;1;0;1;3;2;4;0;0;0;1;3;14;0;0;4;7;3
"Cerkvenjak";"Površina [m2]";2472;0;53;151;333;1935;1059;0;204;195;278;382;1319;0;0;547;261;511;2963;0;751;0;788;1424;746;0;62;91;0;593;1190;0;59;118;280;733;678;0;0;87;361;230;724;0;0;0;573;151;1340;36;0;82;436;786;1517;0;0;100;129;1288;1431;0;0;0;659;772;2584;0;0;0;444;2140;738;0;0;244;351;143;1537;55;0;309;687;486;808;0;0;0;198;610;1750;0;0;361;909;480
"Cirkulane";"Število";0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;2;5;0;0;2;0;3;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;3;0;0;2;0;1;5;0;0;2;3;0;3;0;0;3;0;0;14;0;4;2;4;4;8;0;3;1;4;0;3;0;0;1;1;1;5;0;1;3;1;0;7;0;0;0;4;3;4;0;1;0;0;3
"Cirkulane";"Površina [m2]";0;0;0;0;0;0;0;0;0;0;0;0;428;0;0;108;0;320;822;0;0;140;0;682;166;0;0;0;0;166;0;0;0;0;0;0;64;0;64;0;0;0;322;0;0;167;0;155;451;0;0;188;263;0;194;0;0;194;0;0;1899;0;316;142;442;999;1182;0;279;192;711;0;464;0;0;185;65;214;760;0;150;438;172;0;1345;0;0;0;692;653;554;0;58;0;0;496
"Èrenšovci";"Število";18;0;1;8;4;5;23;2;3;0;9;9;12;0;0;2;1;9;12;0;0;1;5;6;11;0;3;0;3;5;19;0;1;1;7;10;9;0;0;0;3;6;5;0;0;3;1;1;18;0;0;10;0;8;3;0;0;1;2;0;10;0;1;2;4;3;4;0;0;1;0;3;10;0;1;1;3;5;11;0;0;2;2;7;12;0;0;1;3;8;9;0;0;1;6;2
"Èrenšovci";"Površina [m2]";2391;0;60;759;698;874;3096;67;164;0;1018;1847;2193;0;0;272;172;1749;1997;0;0;56;702;1239;1531;0;266;0;523;742;3723;0;65;149;1121;2388;1400;0;0;0;355;1045;597;0;0;330;94;173;2118;0;0;865;0;1253;225;0;0;54;171;0;1001;0;61;168;338;434;708;0;0;200;0;508;1255;0;72;63;324;796;1246;0;0;66;256;924;1585;0;0;66;416;1103;809;0;0;71;465;273
"Èrna na Koroškem";"Število";2;0;0;1;1;0;3;0;0;0;0;3;2;0;1;0;1;0;7;0;1;1;3;2;1;0;0;1;0;0;4;0;0;0;2;2;3;0;0;0;0;3;2;0;0;1;0;1;6;0;1;0;1;4;5;0;2;0;0;3;3;0;0;1;1;1;2;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;5;1;2;1;1;0
"Èrna na Koroškem";"Površina [m2]";367;0;0;140;227;0;560;0;0;0;0;560;240;0;86;0;154;0;769;0;49;58;349;313;195;0;0;195;0;0;571;0;0;0;344;227;463;0;0;0;0;463;240;0;0;81;0;159;1063;0;61;0;144;858;597;0;45;0;0;552;487;0;0;76;103;308;334;0;0;0;130;204;94;0;0;0;94;0;0;0;0;0;0;0;485;0;0;0;485;0;823;36;467;107;213;0
"Èrnomelj";"Število";33;2;8;9;4;10;30;0;4;9;6;11;26;1;3;9;9;4;25;0;2;4;8;11;74;11;23;30;7;3;26;0;6;6;13;1;12;1;2;3;4;2;23;13;0;0;3;7;14;0;1;4;6;3;12;0;3;2;4;3;12;0;1;3;1;7;52;1;23;10;14;4;13;1;0;0;5;7;10;0;0;0;2;8;28;6;10;2;6;4;20;1;5;5;7;2
